estimator,data_model,hurst,length,scenario,estimated_hurst,error,success,execution_time,framework
Adaptive_RS,fgn,0.7,1000,eeg_muscle_artifacts,0.8105249451149354,0.11052494511493549,True,1.010500431060791,numba
Adaptive_DFA,fgn,0.7,1000,eeg_muscle_artifacts,0.1306773108262472,0.5693226891737527,True,0.05511927604675293,numba
Adaptive_DMA,fgn,0.7,1000,eeg_muscle_artifacts,0.06553159621679644,0.6344684037832036,True,0.003814697265625,numba
Adaptive_Higuchi,fgn,0.7,1000,eeg_muscle_artifacts,1.053949737359704,0.35394973735970403,False,0.0195004940032959,numba
Adaptive_GPH,fgn,0.7,1000,eeg_muscle_artifacts,0.99,0.29000000000000004,True,0.010763406753540039,numba
Adaptive_Whittle,fgn,0.7,1000,eeg_muscle_artifacts,0.7,0.0,True,0.002292156219482422,numba
Adaptive_Periodogram,fgn,0.7,1000,eeg_muscle_artifacts,0.8844798803329468,0.18447988033294682,True,0.008697748184204102,numba
Adaptive_RS,fgn,0.7,1000,eeg_60hz_noise,0.13467613125195033,0.5653238687480496,True,0.8337240219116211,numba
Adaptive_DFA,fgn,0.7,1000,eeg_60hz_noise,0.008676373178468309,0.6913236268215317,True,0.05573248863220215,numba
Adaptive_DMA,fgn,0.7,1000,eeg_60hz_noise,0.020755613021403243,0.6792443869785967,True,0.00440526008605957,numba
Adaptive_Higuchi,fgn,0.7,1000,eeg_60hz_noise,0.7829400398776274,0.08294003987762744,True,0.022066831588745117,numba
Adaptive_GPH,fgn,0.7,1000,eeg_60hz_noise,0.46523889899253845,0.2347611010074615,True,0.013750076293945312,numba
Adaptive_Whittle,fgn,0.7,1000,eeg_60hz_noise,0.7,0.0,True,0.0028333663940429688,numba
Adaptive_Periodogram,fgn,0.7,1000,eeg_60hz_noise,0.31629034876823425,0.3837096512317657,True,0.009042024612426758,numba
Adaptive_RS,fgn,0.7,1000,eeg_movement_artifacts,0.8105249451149354,0.11052494511493549,True,0.8282227516174316,numba
Adaptive_DFA,fgn,0.7,1000,eeg_movement_artifacts,0.1306773108262472,0.5693226891737527,True,0.055898189544677734,numba
Adaptive_DMA,fgn,0.7,1000,eeg_movement_artifacts,0.06553159621679644,0.6344684037832036,True,0.004162788391113281,numba
Adaptive_Higuchi,fgn,0.7,1000,eeg_movement_artifacts,1.053949737359704,0.35394973735970403,False,0.01932692527770996,numba
Adaptive_GPH,fgn,0.7,1000,eeg_movement_artifacts,0.99,0.29000000000000004,True,0.010051727294921875,numba
Adaptive_Whittle,fgn,0.7,1000,eeg_movement_artifacts,0.7,0.0,True,0.003017425537109375,numba
Adaptive_Periodogram,fgn,0.7,1000,eeg_movement_artifacts,0.8844798803329468,0.18447988033294682,True,0.007161617279052734,numba
Adaptive_RS,fbm,0.7,2000,pure,0.7741346232440424,0.07413462324404241,True,1.5970773696899414,numba
Adaptive_DFA,fbm,0.7,2000,pure,0.11523751820297265,0.5847624817970273,True,0.10778021812438965,numba
Adaptive_DMA,fbm,0.7,2000,pure,0.04354500122169099,0.6564549987783089,True,0.004221439361572266,numba
Adaptive_Higuchi,fbm,0.7,2000,pure,1.109052088302429,0.4090520883024291,False,0.022976160049438477,numba
Adaptive_GPH,fbm,0.7,2000,pure,0.8255847990512848,0.12558479905128483,True,0.012307405471801758,numba
Adaptive_Whittle,fbm,0.7,2000,pure,0.7,0.0,True,0.002999544143676758,numba
Adaptive_Periodogram,fbm,0.7,2000,pure,0.7161113768815994,0.01611137688159947,True,0.008373737335205078,numba
Adaptive_RS,fbm,0.7,2000,eeg_ocular_artifacts,0.7741346232440424,0.07413462324404241,True,1.505995512008667,numba
Adaptive_DFA,fbm,0.7,2000,eeg_ocular_artifacts,0.11523751820297265,0.5847624817970273,True,0.1179802417755127,numba
Adaptive_DMA,fbm,0.7,2000,eeg_ocular_artifacts,0.04354500122169099,0.6564549987783089,True,0.004617929458618164,numba
